measure,location,sex,age,rei,year,val
YLDs (Years Lived with Disability),Arizona,Female,75-79 years,Diet high in sugar-sweetened beverages,2015,207.5063564
YLDs (Years Lived with Disability),Arkansas,Male,30-34 years,Diet high in sugar-sweetened beverages,2015,21.98067274
YLDs (Years Lived with Disability),Arkansas,Female,30-34 years,Diet high in sugar-sweetened beverages,2015,24.60593158
YLDs (Years Lived with Disability),California,Female,30-34 years,Diet low in vegetables,2015,0.141775972
YLDs (Years Lived with Disability),California,Male,45-49 years,Diet high in processed meat,2015,161.3049315
YLDs (Years Lived with Disability),Connecticut,Male,80-84 years,Diet high in processed meat,2015,695.374112
YLDs (Years Lived with Disability),Connecticut,Female,90-94 years,Diet high in processed meat,2015,428.4958653
YLDs (Years Lived with Disability),Delaware,Female,90-94 years,Diet high in red meat,2015,163.089771
YLDs (Years Lived with Disability),District of Columbia,Male,60-64 years,Diet low in fiber,2015,9.999026918
YLDs (Years Lived with Disability),Florida,Female,75-79 years,Diet high in sugar-sweetened beverages,2015,243.6153546
YLDs (Years Lived with Disability),Florida,Male,50-54 years,Diet high in sugar-sweetened beverages,2015,168.3779005
YLDs (Years Lived with Disability),Florida,Female,80-84 years,Diet low in vegetables,2015,4.584333445
YLDs (Years Lived with Disability),Florida,Male,65-69 years,Diet high in processed meat,2015,686.3756674
YLDs (Years Lived with Disability),Georgia,Female,80-84 years,Diet high in processed meat,2015,551.5313873
YLDs (Years Lived with Disability),Georgia,Female,80-84 years,Diet low in whole grains,2015,145.751598
YLDs (Years Lived with Disability),Georgia,Female,45-49 years,Diet low in fruits,2015,30.17923491
YLDs (Years Lived with Disability),Georgia,Female,70-74 years,Diet low in fruits,2015,41.72007766
YLDs (Years Lived with Disability),Hawaii,Female,90-94 years,Diet low in fiber,2015,41.50481806
YLDs (Years Lived with Disability),Illinois,Male,70-74 years,Diet high in red meat,2015,318.7232715
YLDs (Years Lived with Disability),Illinois,Female,30-34 years,Diet high in processed meat,2015,26.12502579
YLDs (Years Lived with Disability),Indiana,Male,85-89 years,Diet low in vegetables,2015,22.29404072
YLDs (Years Lived with Disability),Indiana,Female,75-79 years,Diet low in vegetables,2015,4.50631394
YLDs (Years Lived with Disability),Iowa,Female,80-84 years,Diet low in whole grains,2015,115.8479936
YLDs (Years Lived with Disability),Kentucky,Female,65-69 years,Diet low in fruits,2015,76.25880325
YLDs (Years Lived with Disability),Louisiana,Male,25-29 years,Diet high in sugar-sweetened beverages,2015,9.479467842
YLDs (Years Lived with Disability),Louisiana,Female,80-84 years,Diet low in fruits,2015,119.7177679
YLDs (Years Lived with Disability),Maine,Female,85-89 years,Diet high in red meat,2015,165.7809662
YLDs (Years Lived with Disability),Maine,Female,35-39 years,Diet low in fiber,2015,2.502082783
YLDs (Years Lived with Disability),Massachusetts,Male,95+ years,Diet high in red meat,2015,242.5029658
YLDs (Years Lived with Disability),Massachusetts,Male,75-79 years,Diet low in fruits,2015,70.83254762
YLDs (Years Lived with Disability),Michigan,Male,70-74 years,Diet low in fruits,2015,88.75327936
YLDs (Years Lived with Disability),Michigan,Female,75-79 years,Diet high in sugar-sweetened beverages,2015,268.4007818
YLDs (Years Lived with Disability),Mississippi,Male,65-69 years,Diet low in whole grains,2015,208.794628
YLDs (Years Lived with Disability),Missouri,Female,40-44 years,Diet low in vegetables,2015,0.723829156
YLDs (Years Lived with Disability),Montana,Female,55-59 years,Diet high in processed meat,2015,219.0149928
YLDs (Years Lived with Disability),Montana,Male,90-94 years,Diet low in vegetables,2015,3.462706234
YLDs (Years Lived with Disability),Montana,Female,60-64 years,Diet low in fruits,2015,23.56934341
YLDs (Years Lived with Disability),Nebraska,Female,85-89 years,Diet high in processed meat,2015,459.9281178
YLDs (Years Lived with Disability),Nevada,Female,70-74 years,Diet low in whole grains,2015,141.6306684
YLDs (Years Lived with Disability),Nevada,Male,65-69 years,Diet low in whole grains,2015,197.0321742
YLDs (Years Lived with Disability),New Jersey,Female,85-89 years,Diet high in red meat,2015,111.4538461
YLDs (Years Lived with Disability),New Jersey,Female,75-79 years,Diet low in fruits,2015,63.03161854
YLDs (Years Lived with Disability),New Jersey,Female,40-44 years,Diet low in fruits,2015,9.885877495
YLDs (Years Lived with Disability),New Mexico,Female,30-34 years,Diet low in fruits,2015,8.525158716
YLDs (Years Lived with Disability),New York,Female,35-39 years,Diet low in fiber,2015,2.290044763
YLDs (Years Lived with Disability),New York,Male,55-59 years,Diet high in sugar-sweetened beverages,2015,247.4857555
YLDs (Years Lived with Disability),North Dakota,Female,50-54 years,Diet high in processed meat,2015,181.2917031
YLDs (Years Lived with Disability),North Dakota,Female,70-74 years,Diet high in processed meat,2015,537.7805949
YLDs (Years Lived with Disability),Ohio,Female,75-79 years,Diet low in whole grains,2015,173.445441
YLDs (Years Lived with Disability),Oregon,Male,60-64 years,Diet high in sugar-sweetened beverages,2015,207.8572361
YLDs (Years Lived with Disability),Rhode Island,Male,50-54 years,Diet low in vegetables,2015,2.058464869
YLDs (Years Lived with Disability),Rhode Island,Female,45-49 years,Diet high in red meat,2015,57.67562022
YLDs (Years Lived with Disability),Rhode Island,Male,25-29 years,Diet low in vegetables,2015,0.103693449
YLDs (Years Lived with Disability),Tennessee,Male,60-64 years,Diet low in fiber,2015,22.9420471
YLDs (Years Lived with Disability),Tennessee,Female,45-49 years,Diet low in whole grains,2015,46.87973097
YLDs (Years Lived with Disability),Tennessee,Male,70-74 years,Diet low in fruits,2015,33.96003278
YLDs (Years Lived with Disability),Tennessee,Male,35-39 years,Diet low in fruits,2015,16.9476297
YLDs (Years Lived with Disability),Texas,Female,65-69 years,Diet high in red meat,2015,243.7100314
YLDs (Years Lived with Disability),Utah,Female,25-29 years,Diet high in sugar-sweetened beverages,2015,11.19547636
YLDs (Years Lived with Disability),Utah,Female,70-74 years,Diet low in whole grains,2015,148.6664479
YLDs (Years Lived with Disability),Utah,Male,45-49 years,Diet high in processed meat,2015,165.4889677
YLDs (Years Lived with Disability),Utah,Male,90-94 years,Diet low in whole grains,2015,218.2602885
YLDs (Years Lived with Disability),Vermont,Male,45-49 years,Diet high in processed meat,2015,160.4915137
YLDs (Years Lived with Disability),Virginia,Female,65-69 years,Diet high in sugar-sweetened beverages,2015,269.1200808
YLDs (Years Lived with Disability),Virginia,Female,80-84 years,Diet low in whole grains,2015,136.3459901
YLDs (Years Lived with Disability),Virginia,Male,80-84 years,Diet high in processed meat,2015,699.154273
YLDs (Years Lived with Disability),Virginia,Female,70-74 years,Diet high in red meat,2015,221.3945255
YLDs (Years Lived with Disability),Washington,Female,50-54 years,Diet low in fiber,2015,8.226373346
YLDs (Years Lived with Disability),Wisconsin,Female,25-29 years,Diet high in sugar-sweetened beverages,2015,11.75895543
YLDs (Years Lived with Disability),Wisconsin,Female,95+ years,Diet low in whole grains,2015,111.2913827
YLDs (Years Lived with Disability),Wisconsin,Male,95+ years,Diet low in fruits,2015,57.39263464
YLDs (Years Lived with Disability),Wyoming,Male,90-94 years,Diet high in processed meat,2015,475.8796278
YLDs (Years Lived with Disability),Wyoming,Male,30-34 years,Diet low in fiber,2015,1.000073665
YLDs (Years Lived with Disability),Alabama,Male,90-94 years,Diet low in whole grains,2016,239.2884095
YLDs (Years Lived with Disability),Arkansas,Male,90-94 years,Diet high in sugar-sweetened beverages,2016,156.1316502
YLDs (Years Lived with Disability),Arkansas,Male,80-84 years,Diet low in fruits,2016,115.4333422
YLDs (Years Lived with Disability),Colorado,Male,70-74 years,Diet low in fiber,2016,23.95442408
YLDs (Years Lived with Disability),Connecticut,Male,40-44 years,Diet low in fruits,2016,17.85315475
YLDs (Years Lived with Disability),Connecticut,Female,25-29 years,Diet high in sugar-sweetened beverages,2016,12.47404733
YLDs (Years Lived with Disability),Connecticut,Male,90-94 years,Diet high in sugar-sweetened beverages,2016,236.9031889
YLDs (Years Lived with Disability),Connecticut,Female,75-79 years,Diet high in sugar-sweetened beverages,2016,286.4992361
YLDs (Years Lived with Disability),Delaware,Female,95+ years,Diet low in fiber,2016,34.83456301
YLDs (Years Lived with Disability),District of Columbia,Male,80-84 years,Diet low in whole grains,2016,152.8568625
YLDs (Years Lived with Disability),District of Columbia,Female,70-74 years,Diet low in vegetables,2016,8.121825018
YLDs (Years Lived with Disability),Florida,Male,85-89 years,Diet high in sugar-sweetened beverages,2016,194.091767
YLDs (Years Lived with Disability),Florida,Female,65-69 years,Diet low in fruits,2016,45.13518567
YLDs (Years Lived with Disability),Georgia,Male,30-34 years,Diet high in red meat,2016,15.70864029
YLDs (Years Lived with Disability),Idaho,Female,55-59 years,Diet high in sugar-sweetened beverages,2016,135.2936616
YLDs (Years Lived with Disability),Idaho,Male,35-39 years,Diet low in fiber,2016,2.453917462
YLDs (Years Lived with Disability),Idaho,Female,35-39 years,Diet low in whole grains,2016,13.67058887
YLDs (Years Lived with Disability),Idaho,Female,30-34 years,Diet high in red meat,2016,12.54483521
YLDs (Years Lived with Disability),Idaho,Male,55-59 years,Diet high in red meat,2016,178.0738818
YLDs (Years Lived with Disability),Idaho,Male,95+ years,Diet high in red meat,2016,234.5205811
YLDs (Years Lived with Disability),Illinois,Male,90-94 years,Diet low in whole grains,2016,214.3794787
YLDs (Years Lived with Disability),Indiana,Male,35-39 years,Diet high in processed meat,2016,65.12124418
YLDs (Years Lived with Disability),Indiana,Male,75-79 years,Diet high in processed meat,2016,851.2699379
YLDs (Years Lived with Disability),Iowa,Female,65-69 years,Diet low in fruits,2016,60.00353441
YLDs (Years Lived with Disability),Iowa,Female,60-64 years,Diet low in fruits,2016,18.26088118
YLDs (Years Lived with Disability),Kansas,Female,80-84 years,Diet low in fiber,2016,32.03839053
YLDs (Years Lived with Disability),Kentucky,Male,70-74 years,Diet high in red meat,2016,366.9173486
YLDs (Years Lived with Disability),Kentucky,Female,70-74 years,Diet low in fruits,2016,120.2088128
YLDs (Years Lived with Disability),Louisiana,Female,90-94 years,Diet high in red meat,2016,180.5648295
YLDs (Years Lived with Disability),Maine,Male,40-44 years,Diet high in sugar-sweetened beverages,2016,66.33049257
YLDs (Years Lived with Disability),Maine,Male,90-94 years,Diet high in sugar-sweetened beverages,2016,198.2788143
YLDs (Years Lived with Disability),Maine,Female,75-79 years,Diet high in sugar-sweetened beverages,2016,249.9783435
YLDs (Years Lived with Disability),Massachusetts,Male,35-39 years,Diet low in fiber,2016,1.997297954
YLDs (Years Lived with Disability),Michigan,Male,55-59 years,Diet low in fruits,2016,49.79390069
YLDs (Years Lived with Disability),Michigan,Male,35-39 years,Diet low in vegetables,2016,0.508342795
YLDs (Years Lived with Disability),Michigan,Female,30-34 years,Diet low in whole grains,2016,9.550275337
YLDs (Years Lived with Disability),Mississippi,Female,90-94 years,Diet low in vegetables,2016,5.203390114
YLDs (Years Lived with Disability),Missouri,Male,55-59 years,Diet low in whole grains,2016,129.5094566
YLDs (Years Lived with Disability),Missouri,Female,55-59 years,Diet high in sugar-sweetened beverages,2016,175.2153174
YLDs (Years Lived with Disability),Missouri,Male,40-44 years,Diet low in vegetables,2016,3.664580198
YLDs (Years Lived with Disability),Montana,Female,65-69 years,Diet high in red meat,2016,200.5898353
YLDs (Years Lived with Disability),Nebraska,Male,80-84 years,Diet low in vegetables,2016,2.993790528
YLDs (Years Lived with Disability),Nebraska,Female,90-94 years,Diet high in red meat,2016,200.2399232
YLDs (Years Lived with Disability),Nebraska,Male,65-69 years,Diet low in whole grains,2016,190.1317376
YLDs (Years Lived with Disability),Nevada,Male,40-44 years,Diet high in processed meat,2016,121.8736064
YLDs (Years Lived with Disability),New Hampshire,Male,85-89 years,Diet high in processed meat,2016,693.6062907
YLDs (Years Lived with Disability),New Hampshire,Male,25-29 years,Diet low in whole grains,2016,5.708161336
YLDs (Years Lived with Disability),New Hampshire,Male,85-89 years,Diet high in sugar-sweetened beverages,2016,230.1920716
YLDs (Years Lived with Disability),New Hampshire,Male,60-64 years,Diet high in red meat,2016,261.0595544
YLDs (Years Lived with Disability),New Mexico,Male,90-94 years,Diet low in fiber,2016,52.60135811
YLDs (Years Lived with Disability),North Carolina,Male,90-94 years,Diet low in vegetables,2016,17.86898303
YLDs (Years Lived with Disability),North Carolina,Male,30-34 years,Diet high in processed meat,2016,32.29713474
YLDs (Years Lived with Disability),North Carolina,Male,65-69 years,Diet low in fruits,2016,125.5868665
YLDs (Years Lived with Disability),Ohio,Female,35-39 years,Diet high in processed meat,2016,60.88585789
YLDs (Years Lived with Disability),Ohio,Female,80-84 years,Diet low in fruits,2016,94.47207155
YLDs (Years Lived with Disability),Ohio,Female,35-39 years,Diet low in fiber,2016,2.889441728
YLDs (Years Lived with Disability),Oklahoma,Female,60-64 years,Diet low in fruits,2016,50.08897097
YLDs (Years Lived with Disability),Oregon,Male,30-34 years,Diet low in fiber,2016,1.207250145
YLDs (Years Lived with Disability),Oregon,Female,50-54 years,Diet high in red meat,2016,80.23946517
YLDs (Years Lived with Disability),Pennsylvania,Female,75-79 years,Diet low in fiber,2016,28.48735677
YLDs (Years Lived with Disability),Rhode Island,Female,45-49 years,Diet high in sugar-sweetened beverages,2016,78.57510835
YLDs (Years Lived with Disability),Rhode Island,Female,45-49 years,Diet high in processed meat,2016,125.3932913
YLDs (Years Lived with Disability),South Carolina,Male,50-54 years,Diet low in fiber,2016,15.25672745
YLDs (Years Lived with Disability),South Carolina,Male,30-34 years,Diet high in sugar-sweetened beverages,2016,23.26479208
YLDs (Years Lived with Disability),South Dakota,Male,50-54 years,Diet high in sugar-sweetened beverages,2016,141.0322824
YLDs (Years Lived with Disability),South Dakota,Male,80-84 years,Diet low in whole grains,2016,205.7243687
YLDs (Years Lived with Disability),South Dakota,Female,35-39 years,Diet low in fiber,2016,2.563784278
YLDs (Years Lived with Disability),Texas,Male,60-64 years,Diet high in sugar-sweetened beverages,2016,261.2130441
YLDs (Years Lived with Disability),Texas,Male,35-39 years,Diet low in vegetables,2016,0.660888134
YLDs (Years Lived with Disability),Utah,Male,75-79 years,Diet low in fiber,2016,31.85007739
YLDs (Years Lived with Disability),Utah,Male,65-69 years,Diet high in red meat,2016,264.8081885
YLDs (Years Lived with Disability),Utah,Female,45-49 years,Diet low in whole grains,2016,36.85529962
YLDs (Years Lived with Disability),Utah,Female,55-59 years,Diet low in fiber,2016,14.82341974
YLDs (Years Lived with Disability),Vermont,Female,55-59 years,Diet low in whole grains,2016,62.25940406
YLDs (Years Lived with Disability),Vermont,Female,95+ years,Diet high in processed meat,2016,334.3384962
YLDs (Years Lived with Disability),Virginia,Female,65-69 years,Diet high in processed meat,2016,540.778514
YLDs (Years Lived with Disability),Washington,Female,85-89 years,Diet low in whole grains,2016,120.8165415
YLDs (Years Lived with Disability),Washington,Female,75-79 years,Diet high in red meat,2016,200.1893229
YLDs (Years Lived with Disability),West Virginia,Male,95+ years,Diet low in vegetables,2016,5.679681711
YLDs (Years Lived with Disability),West Virginia,Male,70-74 years,Diet high in processed meat,2016,879.307153
YLDs (Years Lived with Disability),West Virginia,Male,75-79 years,Diet low in whole grains,2016,273.0446114
YLDs (Years Lived with Disability),Wisconsin,Female,70-74 years,Diet high in processed meat,2016,522.9486225
YLDs (Years Lived with Disability),Wisconsin,Male,75-79 years,Diet high in processed meat,2016,682.194041
YLDs (Years Lived with Disability),Wisconsin,Female,75-79 years,Diet low in fruits,2016,77.84744005
YLDs (Years Lived with Disability),Wisconsin,Male,65-69 years,Diet low in vegetables,2016,4.588415264
YLDs (Years Lived with Disability),Wisconsin,Female,25-29 years,Diet high in red meat,2016,7.814659844
YLDs (Years Lived with Disability),Alabama,Male,25-29 years,Diet low in fiber,2017,0.92162053
YLDs (Years Lived with Disability),Alabama,Male,35-39 years,Diet high in red meat,2017,38.17283046
YLDs (Years Lived with Disability),Alaska,Female,80-84 years,Diet high in processed meat,2017,518.4944678
YLDs (Years Lived with Disability),Arkansas,Male,25-29 years,Diet low in vegetables,2017,0.116080424
YLDs (Years Lived with Disability),Arkansas,Female,65-69 years,Diet low in fiber,2017,23.52932285
YLDs (Years Lived with Disability),Arkansas,Male,40-44 years,Diet high in sugar-sweetened beverages,2017,78.93165947
YLDs (Years Lived with Disability),Arkansas,Female,90-94 years,Diet low in vegetables,2017,3.291025743
YLDs (Years Lived with Disability),Arkansas,Female,40-44 years,Diet high in red meat,2017,53.28045173
YLDs (Years Lived with Disability),Colorado,Female,80-84 years,Diet high in processed meat,2017,411.0616636
YLDs (Years Lived with Disability),Connecticut,Female,85-89 years,Diet low in whole grains,2017,142.3770882
YLDs (Years Lived with Disability),Connecticut,Female,55-59 years,Diet low in fruits,2017,23.07356795
YLDs (Years Lived with Disability),Connecticut,Male,30-34 years,Diet high in processed meat,2017,28.48108636
YLDs (Years Lived with Disability),Connecticut,Male,60-64 years,Diet low in whole grains,2017,152.5835426
YLDs (Years Lived with Disability),Connecticut,Male,75-79 years,Diet high in sugar-sweetened beverages,2017,364.3050845
YLDs (Years Lived with Disability),Delaware,Female,75-79 years,Diet high in sugar-sweetened beverages,2017,282.2434635
YLDs (Years Lived with Disability),Delaware,Female,90-94 years,Diet low in fruits,2017,112.2646564
YLDs (Years Lived with Disability),District of Columbia,Male,65-69 years,Diet low in whole grains,2017,126.2661116
YLDs (Years Lived with Disability),Florida,Female,90-94 years,Diet high in sugar-sweetened beverages,2017,149.390089
YLDs (Years Lived with Disability),Georgia,Female,50-54 years,Diet low in fruits,2017,50.37855849
YLDs (Years Lived with Disability),Idaho,Male,70-74 years,Diet high in processed meat,2017,677.5935803
YLDs (Years Lived with Disability),Idaho,Female,45-49 years,Diet low in fruits,2017,20.27662567
YLDs (Years Lived with Disability),Idaho,Female,30-34 years,Diet low in fiber,2017,1.552380094
YLDs (Years Lived with Disability),Illinois,Female,90-94 years,Diet high in red meat,2017,143.8513867
YLDs (Years Lived with Disability),Indiana,Male,25-29 years,Diet low in whole grains,2017,5.913562047
YLDs (Years Lived with Disability),Indiana,Female,30-34 years,Diet low in fiber,2017,1.829607118
YLDs (Years Lived with Disability),Iowa,Female,45-49 years,Diet high in processed meat,2017,134.9618547
YLDs (Years Lived with Disability),Iowa,Male,60-64 years,Diet low in fiber,2017,19.39320797
YLDs (Years Lived with Disability),Kansas,Male,90-94 years,Diet low in vegetables,2017,6.841196163
YLDs (Years Lived with Disability),Kansas,Male,60-64 years,Diet low in vegetables,2017,3.164366443
YLDs (Years Lived with Disability),Kentucky,Female,90-94 years,Diet low in fiber,2017,52.73173868
YLDs (Years Lived with Disability),Maine,Female,50-54 years,Diet low in whole grains,2017,50.62450745
YLDs (Years Lived with Disability),Maryland,Male,45-49 years,Diet low in fruits,2017,37.43125935
YLDs (Years Lived with Disability),Maryland,Female,75-79 years,Diet high in red meat,2017,211.9330052
YLDs (Years Lived with Disability),Maryland,Female,85-89 years,Diet low in fruits,2017,41.94354967
YLDs (Years Lived with Disability),Massachusetts,Female,65-69 years,Diet low in vegetables,2017,3.186260417
YLDs (Years Lived with Disability),Minnesota,Female,55-59 years,Diet high in red meat,2017,120.8904381
YLDs (Years Lived with Disability),Mississippi,Male,65-69 years,Diet low in fiber,2017,31.11080654
YLDs (Years Lived with Disability),Mississippi,Male,45-49 years,Diet low in vegetables,2017,13.93470483
YLDs (Years Lived with Disability),Missouri,Female,75-79 years,Diet low in whole grains,2017,160.8142615
YLDs (Years Lived with Disability),Missouri,Female,65-69 years,Diet low in fiber,2017,25.90989724
YLDs (Years Lived with Disability),Montana,Male,65-69 years,Diet low in whole grains,2017,170.2608285
YLDs (Years Lived with Disability),Montana,Male,55-59 years,Diet low in vegetables,2017,3.368078618
YLDs (Years Lived with Disability),Montana,Female,85-89 years,Diet low in fiber,2017,29.03442831
YLDs (Years Lived with Disability),Montana,Male,65-69 years,Diet low in fiber,2017,23.01556159
YLDs (Years Lived with Disability),Montana,Male,45-49 years,Diet low in whole grains,2017,41.75772229
YLDs (Years Lived with Disability),Nebraska,Male,80-84 years,Diet high in red meat,2017,352.3913415
YLDs (Years Lived with Disability),Nebraska,Female,70-74 years,Diet high in red meat,2017,262.0985684
YLDs (Years Lived with Disability),Nebraska,Male,90-94 years,Diet low in fruits,2017,79.68554252
YLDs (Years Lived with Disability),Nebraska,Male,65-69 years,Diet low in fiber,2017,25.58063361
YLDs (Years Lived with Disability),New Hampshire,Male,90-94 years,Diet low in whole grains,2017,245.0838375
YLDs (Years Lived with Disability),New Mexico,Female,95+ years,Diet high in red meat,2017,155.4203002
YLDs (Years Lived with Disability),North Carolina,Male,60-64 years,Diet high in red meat,2017,335.462658
YLDs (Years Lived with Disability),North Carolina,Male,70-74 years,Diet high in red meat,2017,356.5368568
YLDs (Years Lived with Disability),North Dakota,Male,95+ years,Diet low in fruits,2017,81.66882192
YLDs (Years Lived with Disability),Ohio,Female,85-89 years,Diet low in fruits,2017,67.24923059
YLDs (Years Lived with Disability),Ohio,Male,80-84 years,Diet low in vegetables,2017,4.765691543
YLDs (Years Lived with Disability),Oklahoma,Female,55-59 years,Diet high in sugar-sweetened beverages,2017,187.638303
YLDs (Years Lived with Disability),Oklahoma,Female,35-39 years,Diet low in vegetables,2017,0.487181375
YLDs (Years Lived with Disability),Oregon,Male,85-89 years,Diet low in vegetables,2017,12.07739646
YLDs (Years Lived with Disability),Oregon,Male,75-79 years,Diet low in vegetables,2017,5.652028841
YLDs (Years Lived with Disability),Oregon,Male,35-39 years,Diet high in processed meat,2017,53.79883907
YLDs (Years Lived with Disability),Oregon,Male,45-49 years,Diet low in vegetables,2017,1.227299602
YLDs (Years Lived with Disability),Pennsylvania,Male,85-89 years,Diet high in red meat,2017,273.9373879
YLDs (Years Lived with Disability),Rhode Island,Male,50-54 years,Diet low in fruits,2017,38.51603241
YLDs (Years Lived with Disability),Rhode Island,Female,75-79 years,Diet low in fruits,2017,76.97381852
YLDs (Years Lived with Disability),South Carolina,Male,90-94 years,Diet high in sugar-sweetened beverages,2017,195.5907783
YLDs (Years Lived with Disability),South Carolina,Male,50-54 years,Diet high in red meat,2017,178.3177567
YLDs (Years Lived with Disability),South Dakota,Male,70-74 years,Diet high in sugar-sweetened beverages,2017,309.5203223
YLDs (Years Lived with Disability),South Dakota,Male,40-44 years,Diet high in processed meat,2017,110.1059907
YLDs (Years Lived with Disability),Tennessee,Female,30-34 years,Diet high in sugar-sweetened beverages,2017,26.8802257
YLDs (Years Lived with Disability),Tennessee,Female,95+ years,Diet high in processed meat,2017,437.3331213
YLDs (Years Lived with Disability),Texas,Male,55-59 years,Diet high in red meat,2017,233.1855851
YLDs (Years Lived with Disability),Texas,Female,95+ years,Diet high in sugar-sweetened beverages,2017,137.5638798
YLDs (Years Lived with Disability),Texas,Male,45-49 years,Diet high in sugar-sweetened beverages,2017,134.2229013
YLDs (Years Lived with Disability),Utah,Male,65-69 years,Diet low in fruits,2017,71.44507664
YLDs (Years Lived with Disability),Utah,Female,25-29 years,Diet low in vegetables,2017,0.102971584
YLDs (Years Lived with Disability),Utah,Female,85-89 years,Diet low in vegetables,2017,6.199106061
YLDs (Years Lived with Disability),Utah,Female,60-64 years,Diet low in whole grains,2017,108.493689
YLDs (Years Lived with Disability),Vermont,Male,70-74 years,Diet low in fiber,2017,25.75689915
YLDs (Years Lived with Disability),Vermont,Female,85-89 years,Diet low in fiber,2017,26.83463281
YLDs (Years Lived with Disability),Virginia,Male,45-49 years,Diet high in processed meat,2017,208.6407677
YLDs (Years Lived with Disability),Washington,Male,40-44 years,Diet high in red meat,2017,53.27690324
YLDs (Years Lived with Disability),Washington,Female,60-64 years,Diet high in sugar-sweetened beverages,2017,182.5090563
YLDs (Years Lived with Disability),Washington,Female,50-54 years,Diet low in vegetables,2017,1.663922288
YLDs (Years Lived with Disability),Washington,Female,40-44 years,Diet low in fiber,2017,4.069305968
YLDs (Years Lived with Disability),West Virginia,Male,25-29 years,Diet low in whole grains,2017,6.640286457
YLDs (Years Lived with Disability),Wisconsin,Male,70-74 years,Diet low in whole grains,2017,210.3854
YLDs (Years Lived with Disability),Wisconsin,Male,75-79 years,Diet low in fruits,2017,94.80272672
YLDs (Years Lived with Disability),Wyoming,Female,75-79 years,Diet low in whole grains,2017,120.2058245
YLDs (Years Lived with Disability),Wyoming,Female,25-29 years,Diet low in fiber,2017,0.66568112
YLDs (Years Lived with Disability),Alabama,Female,40-44 years,Diet low in whole grains,2018,36.0458096
YLDs (Years Lived with Disability),Alaska,Female,95+ years,Diet low in whole grains,2018,121.3841076
YLDs (Years Lived with Disability),Alaska,Female,95+ years,Diet high in sugar-sweetened beverages,2018,149.3378916
YLDs (Years Lived with Disability),Alaska,Female,90-94 years,Diet high in sugar-sweetened beverages,2018,163.66673
YLDs (Years Lived with Disability),Arizona,Male,75-79 years,Diet low in whole grains,2018,240.7124591
YLDs (Years Lived with Disability),Arizona,Male,80-84 years,Diet low in fiber,2018,40.24336161
YLDs (Years Lived with Disability),Arizona,Female,45-49 years,Diet low in whole grains,2018,44.9942041
YLDs (Years Lived with Disability),California,Male,50-54 years,Diet high in red meat,2018,125.89226
YLDs (Years Lived with Disability),Colorado,Female,40-44 years,Diet high in red meat,2018,31.99165849
YLDs (Years Lived with Disability),Connecticut,Male,70-74 years,Diet low in fiber,2018,24.53786237
YLDs (Years Lived with Disability),Connecticut,Female,90-94 years,Diet low in fruits,2018,54.68550319
YLDs (Years Lived with Disability),Florida,Male,45-49 years,Diet low in fiber,2018,9.496532967
YLDs (Years Lived with Disability),Georgia,Male,70-74 years,Diet high in sugar-sweetened beverages,2018,331.8789189
YLDs (Years Lived with Disability),Georgia,Male,70-74 years,Diet high in red meat,2018,351.24352
YLDs (Years Lived with Disability),Georgia,Male,65-69 years,Diet low in fiber,2018,30.74419421
YLDs (Years Lived with Disability),Georgia,Male,55-59 years,Diet high in red meat,2018,216.5023903
YLDs (Years Lived with Disability),Hawaii,Male,75-79 years,Diet high in processed meat,2018,747.6291281
YLDs (Years Lived with Disability),Hawaii,Male,95+ years,Diet high in processed meat,2018,599.7850485
YLDs (Years Lived with Disability),Hawaii,Male,30-34 years,Diet low in whole grains,2018,10.85428031
YLDs (Years Lived with Disability),Idaho,Male,75-79 years,Diet low in vegetables,2018,14.12264929
YLDs (Years Lived with Disability),Idaho,Female,45-49 years,Diet low in whole grains,2018,34.96357704
YLDs (Years Lived with Disability),Idaho,Male,95+ years,Diet low in fruits,2018,93.59095866
YLDs (Years Lived with Disability),Indiana,Female,70-74 years,Diet high in red meat,2018,278.9221683
YLDs (Years Lived with Disability),Iowa,Male,75-79 years,Diet high in sugar-sweetened beverages,2018,297.6395872
YLDs (Years Lived with Disability),Iowa,Female,40-44 years,Diet low in vegetables,2018,1.917403014
YLDs (Years Lived with Disability),Iowa,Male,25-29 years,Diet low in whole grains,2018,6.378732562
YLDs (Years Lived with Disability),Iowa,Male,30-34 years,Diet low in vegetables,2018,0.229423308
YLDs (Years Lived with Disability),Kentucky,Male,60-64 years,Diet high in sugar-sweetened beverages,2018,281.1575683
YLDs (Years Lived with Disability),Kentucky,Male,65-69 years,Diet low in fiber,2018,32.71002459
YLDs (Years Lived with Disability),Kentucky,Male,65-69 years,Diet low in whole grains,2018,239.6706024
YLDs (Years Lived with Disability),Kentucky,Female,75-79 years,Diet high in sugar-sweetened beverages,2018,261.7160949
YLDs (Years Lived with Disability),Louisiana,Female,90-94 years,Diet high in red meat,2018,189.2054808
YLDs (Years Lived with Disability),Maine,Male,85-89 years,Diet high in red meat,2018,304.4264634
YLDs (Years Lived with Disability),Maine,Female,50-54 years,Diet low in whole grains,2018,51.68734723
YLDs (Years Lived with Disability),Maryland,Male,30-34 years,Diet low in whole grains,2018,11.31129125
YLDs (Years Lived with Disability),Massachusetts,Female,60-64 years,Diet high in sugar-sweetened beverages,2018,205.3435984
